"moral_id","book_id","title","AuthorFirstName","AuthorLastName","Date","Language","Country","Class","model","input_type","moral_num","moral"
41,"2002_Kidd,SueMonk_TheSecretLifeofBees_BS.txt","TheSecretLifeofBees","Kidd","SueMonk",2002,"English","US","BEST","GPT","chunk_summary",2,"Courage begins the moment fear stops deciding your life."
42,"2002_Kidd,SueMonk_TheSecretLifeofBees_BS.txt","TheSecretLifeofBees","Kidd","SueMonk",2002,"English","US","BEST","GPT","chunk_summary",3,"Forgiveness is how grief loosens its grip."
43,"2002_Kidd,SueMonk_TheSecretLifeofBees_BS.txt","TheSecretLifeofBees","Kidd","SueMonk",2002,"English","US","BEST","GPT","plotArc_summary",1,"Family is the love that stays, not the blood that binds."
44,"2002_Kidd,SueMonk_TheSecretLifeofBees_BS.txt","TheSecretLifeofBees","Kidd","SueMonk",2002,"English","US","BEST","GPT","plotArc_summary",2,"Healing begins when guilt gives way to truth."
45,"2002_Kidd,SueMonk_TheSecretLifeofBees_BS.txt","TheSecretLifeofBees","Kidd","SueMonk",2002,"English","US","BEST","GPT","plotArc_summary",3,"Courage can turn a hunted child into a home found soul."
46,"2002_Kidd,SueMonk_TheSecretLifeofBees_BS.txt","TheSecretLifeofBees","Kidd","SueMonk",2002,"English","US","BEST","GPT","memory",1,"Love can build the family that blood could not."
47,"2002_Kidd,SueMonk_TheSecretLifeofBees_BS.txt","TheSecretLifeofBees","Kidd","SueMonk",2002,"English","US","BEST","GPT","memory",2,"Courage begins when truth is faced instead of feared."
48,"2002_Kidd,SueMonk_TheSecretLifeofBees_BS.txt","TheSecretLifeofBees","Kidd","SueMonk",2002,"English","US","BEST","GPT","memory",3,"Healing grows where forgiveness and belonging take root."
49,"2002_Kidd,SueMonk_TheSecretLifeofBees_BS.txt","TheSecretLifeofBees","Kidd","SueMonk",2002,"English","US","BEST","Gemini","full_text",1,"The motherly love and strength we desperately seek from the world must ultimately be discovered within our own hearts."
50,"2002_Kidd,SueMonk_TheSecretLifeofBees_BS.txt","TheSecretLifeofBees","Kidd","SueMonk",2002,"English","US","BEST","Gemini","full_text",2,"Healing begins only when we find the courage to forgive ourselves and others for the tragic imperfections of being human."
51,"2002_Kidd,SueMonk_TheSecretLifeofBees_BS.txt","TheSecretLifeofBees","Kidd","SueMonk",2002,"English","US","BEST","Gemini","full_text",3,"True family is not defined by blood or race, but by the community of people who choose to surround you with unwavering love."
52,"2002_Kidd,SueMonk_TheSecretLifeofBees_BS.txt","TheSecretLifeofBees","Kidd","SueMonk",2002,"English","US","BEST","Gemini","chunk_summary",1,"True family is forged not by blood, but by the community that chooses to nurture and protect you."
53,"2002_Kidd,SueMonk_TheSecretLifeofBees_BS.txt","TheSecretLifeofBees","Kidd","SueMonk",2002,"English","US","BEST","Gemini","chunk_summary",2,"Confronting the painful truths of our past is the only genuine path to healing and self-forgiveness."
54,"2002_Kidd,SueMonk_TheSecretLifeofBees_BS.txt","TheSecretLifeofBees","Kidd","SueMonk",2002,"English","US","BEST","Gemini","chunk_summary",3,"The profound love and strength we desperately seek from others ultimately resides within ourselves."
55,"2002_Kidd,SueMonk_TheSecretLifeofBees_BS.txt","TheSecretLifeofBees","Kidd","SueMonk",2002,"English","US","BEST","Gemini","plotArc_summary",1,"Family is defined by the love you choose, not the blood you inherit."
56,"2002_Kidd,SueMonk_TheSecretLifeofBees_BS.txt","TheSecretLifeofBees","Kidd","SueMonk",2002,"English","US","BEST","Gemini","plotArc_summary",2,"You cannot find peace until you forgive yourself for the burdens of the past."
57,"2002_Kidd,SueMonk_TheSecretLifeofBees_BS.txt","TheSecretLifeofBees","Kidd","SueMonk",2002,"English","US","BEST","Gemini","plotArc_summary",3,"Facing a painful truth is the first step toward genuine healing."
58,"2002_Kidd,SueMonk_TheSecretLifeofBees_BS.txt","TheSecretLifeofBees","Kidd","SueMonk",2002,"English","US","BEST","Gemini","memory",1,"Maternal love is not bound by biology, but blossoms within a chosen community."
59,"2002_Kidd,SueMonk_TheSecretLifeofBees_BS.txt","TheSecretLifeofBees","Kidd","SueMonk",2002,"English","US","BEST","Gemini","memory",2,"The most difficult and necessary act of grace is forgiving oneself."
60,"2002_Kidd,SueMonk_TheSecretLifeofBees_BS.txt","TheSecretLifeofBees","Kidd","SueMonk",2002,"English","US","BEST","Gemini","memory",3,"Shared humanity and empathy can dismantle the deepest walls of prejudice."
61,"2002_Kidd,SueMonk_TheSecretLifeofBees_BS.txt","TheSecretLifeofBees","Kidd","SueMonk",2002,"English","US","BEST","Claude","full_text",1,"The family you choose can heal what the family you're born into breaks."
62,"2002_Kidd,SueMonk_TheSecretLifeofBees_BS.txt","TheSecretLifeofBees","Kidd","SueMonk",2002,"English","US","BEST","Claude","full_text",2,"You cannot outrun the truth, but you can learn to carry it."
63,"2002_Kidd,SueMonk_TheSecretLifeofBees_BS.txt","TheSecretLifeofBees","Kidd","SueMonk",2002,"English","US","BEST","Claude","full_text",3,"Love is not a feeling you wait to receive—it is a power you discover within yourself."
64,"2002_Kidd,SueMonk_TheSecretLifeofBees_BS.txt","TheSecretLifeofBees","Kidd","SueMonk",2002,"English","US","BEST","Claude","chunk_summary",1,"The mother you need can be found in the women who choose to love you."
65,"2002_Kidd,SueMonk_TheSecretLifeofBees_BS.txt","TheSecretLifeofBees","Kidd","SueMonk",2002,"English","US","BEST","Claude","chunk_summary",2,"Guilt carried in silence will poison you faster than the truth ever could."
66,"2002_Kidd,SueMonk_TheSecretLifeofBees_BS.txt","TheSecretLifeofBees","Kidd","SueMonk",2002,"English","US","BEST","Claude","chunk_summary",3,"Courage is not the absence of fear but the willingness to act despite it."
67,"2002_Kidd,SueMonk_TheSecretLifeofBees_BS.txt","TheSecretLifeofBees","Kidd","SueMonk",2002,"English","US","BEST","Claude","plotArc_summary",1,"Family is not born but chosen."
68,"2002_Kidd,SueMonk_TheSecretLifeofBees_BS.txt","TheSecretLifeofBees","Kidd","SueMonk",2002,"English","US","BEST","Claude","plotArc_summary",2,"Forgiveness of oneself is the hardest and most necessary journey."
69,"2002_Kidd,SueMonk_TheSecretLifeofBees_BS.txt","TheSecretLifeofBees","Kidd","SueMonk",2002,"English","US","BEST","Claude","plotArc_summary",3,"Love is the only force strong enough to outrun cruelty."
70,"2002_Kidd,SueMonk_TheSecretLifeofBees_BS.txt","TheSecretLifeofBees","Kidd","SueMonk",2002,"English","US","BEST","Claude","memory",1,"The family you choose can heal what the family you lost could not."
71,"2002_Kidd,SueMonk_TheSecretLifeofBees_BS.txt","TheSecretLifeofBees","Kidd","SueMonk",2002,"English","US","BEST","Claude","memory",2,"Guilt carried long enough becomes a cage you build around yourself."
72,"2002_Kidd,SueMonk_TheSecretLifeofBees_BS.txt","TheSecretLifeofBees","Kidd","SueMonk",2002,"English","US","BEST","Claude","memory",3,"The divine lives wherever women dare to tend it."
73,"2002_Sebold,Alice_LovelyBones_BS.txt","LovelyBones","Sebold","Alice",2002,"English","US","BEST","GPT","full_text",1,"Love does not end with loss; it learns a new shape."
74,"2002_Sebold,Alice_LovelyBones_BS.txt","LovelyBones","Sebold","Alice",2002,"English","US","BEST","GPT","full_text",2,"Grief can break a family, but truth and tenderness can bind it again."
75,"2002_Sebold,Alice_LovelyBones_BS.txt","LovelyBones","Sebold","Alice",2002,"English","US","BEST","GPT","full_text",3,"Evil often hides in ordinary faces, so trust the warning in your bones."
76,"2002_Sebold,Alice_LovelyBones_BS.txt","LovelyBones","Sebold","Alice",2002,"English","US","BEST","GPT","chunk_summary",1,"Evil often hides behind ordinary faces."
77,"2002_Sebold,Alice_LovelyBones_BS.txt","LovelyBones","Sebold","Alice",2002,"English","US","BEST","GPT","chunk_summary",2,"Grief can break a family, but love can slowly remake it."
78,"2002_Sebold,Alice_LovelyBones_BS.txt","LovelyBones","Sebold","Alice",2002,"English","US","BEST","GPT","chunk_summary",3,"The dead may be gone, but their lives keep shaping the living."
79,"2002_Sebold,Alice_LovelyBones_BS.txt","LovelyBones","Sebold","Alice",2002,"English","US","BEST","GPT","plotArc_summary",1,"Grief can either break a family or teach it how to heal."
80,"2002_Sebold,Alice_LovelyBones_BS.txt","LovelyBones","Sebold","Alice",2002,"English","US","BEST","GPT","plotArc_summary",2,"Justice may fail, but love and acceptance can still endure."
81,"2002_Sebold,Alice_LovelyBones_BS.txt","LovelyBones","Sebold","Alice",2002,"English","US","BEST","GPT","plotArc_summary",3,"Holding on to pain traps the living; letting go makes room for life."
82,"2002_Sebold,Alice_LovelyBones_BS.txt","LovelyBones","Sebold","Alice",2002,"English","US","BEST","GPT","memory",1,"Love endures even when a life is cut short."
83,"2002_Sebold,Alice_LovelyBones_BS.txt","LovelyBones","Sebold","Alice",2002,"English","US","BEST","GPT","memory",2,"Grief can break a family before it teaches them to heal."
84,"2002_Sebold,Alice_LovelyBones_BS.txt","LovelyBones","Sebold","Alice",2002,"English","US","BEST","GPT","memory",3,"Justice delayed does not erase the truth of harm."
85,"2002_Sebold,Alice_LovelyBones_BS.txt","LovelyBones","Sebold","Alice",2002,"English","US","BEST","Gemini","full_text",1,"Profound loss can forge beautiful, unexpected connections among those left behind."
86,"2002_Sebold,Alice_LovelyBones_BS.txt","LovelyBones","Sebold","Alice",2002,"English","US","BEST","Gemini","full_text",2,"To find true peace, the living and the departed must eventually learn to let each other go."
87,"2002_Sebold,Alice_LovelyBones_BS.txt","LovelyBones","Sebold","Alice",2002,"English","US","BEST","Gemini","full_text",3,"The fragile, fleeting nature of human existence makes our everyday moments of love infinitely precious."
88,"2002_Sebold,Alice_LovelyBones_BS.txt","LovelyBones","Sebold","Alice",2002,"English","US","BEST","Gemini","chunk_summary",1,"True peace is found not in clinging to what was lost, but in gracefully letting go."
89,"2002_Sebold,Alice_LovelyBones_BS.txt","LovelyBones","Sebold","Alice",2002,"English","US","BEST","Gemini","chunk_summary",2,"While profound grief can shatter a family, enduring love has the power to rebuild it."
90,"2002_Sebold,Alice_LovelyBones_BS.txt","LovelyBones","Sebold","Alice",2002,"English","US","BEST","Gemini","chunk_summary",3,"Even the darkest tragedies can weave unexpected bonds of connection among those left behind."
91,"2002_Sebold,Alice_LovelyBones_BS.txt","LovelyBones","Sebold","Alice",2002,"English","US","BEST","Gemini","plotArc_summary",1,"Healing begins only when we release our grip on the past."
92,"2002_Sebold,Alice_LovelyBones_BS.txt","LovelyBones","Sebold","Alice",2002,"English","US","BEST","Gemini","plotArc_summary",2,"Human justice may fail, but fate eventually balances the scales."
93,"2002_Sebold,Alice_LovelyBones_BS.txt","LovelyBones","Sebold","Alice",2002,"English","US","BEST","Gemini","plotArc_summary",3,"The greatest tribute to the dead is to fully embrace the living."
94,"2002_Sebold,Alice_LovelyBones_BS.txt","LovelyBones","Sebold","Alice",2002,"English","US","BEST","Gemini","memory",1,"Holding on too tightly traps both the living and the dead."
95,"2002_Sebold,Alice_LovelyBones_BS.txt","LovelyBones","Sebold","Alice",2002,"English","US","BEST","Gemini","memory",2,"Love transcends the boundary between life and death."
96,"2002_Sebold,Alice_LovelyBones_BS.txt","LovelyBones","Sebold","Alice",2002,"English","US","BEST","Gemini","memory",3,"Peace is found not in vengeance, but in the acceptance of what remains."
97,"2002_Sebold,Alice_LovelyBones_BS.txt","LovelyBones","Sebold","Alice",2002,"English","US","BEST","Claude","full_text",1,"The dead do not leave us; we carry them forward in the lives we choose to live."
98,"2002_Sebold,Alice_LovelyBones_BS.txt","LovelyBones","Sebold","Alice",2002,"English","US","BEST","Claude","full_text",2,"Grief shared across a family can either bind the living together or drive them apart."
99,"2002_Sebold,Alice_LovelyBones_BS.txt","LovelyBones","Sebold","Alice",2002,"English","US","BEST","Claude","full_text",3,"Even a perfect world is a prison if it keeps you from letting go."
100,"2002_Sebold,Alice_LovelyBones_BS.txt","LovelyBones","Sebold","Alice",2002,"English","US","BEST","Claude","chunk_summary",1,"The dead never truly leave; they linger in the love they could not finish giving."
101,"2002_Sebold,Alice_LovelyBones_BS.txt","LovelyBones","Sebold","Alice",2002,"English","US","BEST","Claude","chunk_summary",2,"Evil hides in plain sight, wearing the face of a quiet neighbor."
102,"2002_Sebold,Alice_LovelyBones_BS.txt","LovelyBones","Sebold","Alice",2002,"English","US","BEST","Claude","chunk_summary",3,"Grief does not unite the broken—each mourner must find their own way back to the living."
103,"2002_Sebold,Alice_LovelyBones_BS.txt","LovelyBones","Sebold","Alice",2002,"English","US","BEST","Claude","plotArc_summary",1,"Grief unshared can destroy what tragedy alone could not."
104,"2002_Sebold,Alice_LovelyBones_BS.txt","LovelyBones","Sebold","Alice",2002,"English","US","BEST","Claude","plotArc_summary",2,"Justice is not always served, but life must still go on."
105,"2002_Sebold,Alice_LovelyBones_BS.txt","LovelyBones","Sebold","Alice",2002,"English","US","BEST","Claude","plotArc_summary",3,"Letting go is the final act of love."
106,"2002_Sebold,Alice_LovelyBones_BS.txt","LovelyBones","Sebold","Alice",2002,"English","US","BEST","Claude","memory",1,"The dead cannot heal the living — only the living can heal themselves."
107,"2002_Sebold,Alice_LovelyBones_BS.txt","LovelyBones","Sebold","Alice",2002,"English","US","BEST","Claude","memory",2,"Grief shared is the only grief survived."
108,"2002_Sebold,Alice_LovelyBones_BS.txt","LovelyBones","Sebold","Alice",2002,"English","US","BEST","Claude","memory",3,"Evil leaves a wound in the world that outlasts the evildoer."
109,"2004_Picoult,Jodi_MySistersKeeper_BS.txt","MySistersKeeper","Picoult","Jodi",2004,"English","US","BEST","GPT","full_text",1,"Love without listening can become its own kind of harm."
110,"2004_Picoult,Jodi_MySistersKeeper_BS.txt","MySistersKeeper","Picoult","Jodi",2004,"English","US","BEST","GPT","full_text",2,"No one should have to sacrifice themselves to prove they care."
111,"2004_Picoult,Jodi_MySistersKeeper_BS.txt","MySistersKeeper","Picoult","Jodi",2004,"English","US","BEST","GPT","full_text",3,"Saving a life means little if you lose the person inside it."
112,"2004_Picoult,Jodi_MySistersKeeper_BS.txt","MySistersKeeper","Picoult","Jodi",2004,"English","US","BEST","GPT","chunk_summary",1,"Love should never require surrendering someone else's body."
113,"2004_Picoult,Jodi_MySistersKeeper_BS.txt","MySistersKeeper","Picoult","Jodi",2004,"English","US","BEST","GPT","chunk_summary",2,"Saving one child should not mean losing another."
114,"2004_Picoult,Jodi_MySistersKeeper_BS.txt","MySistersKeeper","Picoult","Jodi",2004,"English","US","BEST","GPT","chunk_summary",3,"The hardest mercy is letting go when holding on causes harm."
115,"2004_Picoult,Jodi_MySistersKeeper_BS.txt","MySistersKeeper","Picoult","Jodi",2004,"English","US","BEST","GPT","plotArc_summary",1,"Love cannot justify taking away another person's choice."
116,"2004_Picoult,Jodi_MySistersKeeper_BS.txt","MySistersKeeper","Picoult","Jodi",2004,"English","US","BEST","GPT","plotArc_summary",2,"Saving a life should never require sacrificing someone's humanity."
117,"2004_Picoult,Jodi_MySistersKeeper_BS.txt","MySistersKeeper","Picoult","Jodi",2004,"English","US","BEST","GPT","plotArc_summary",3,"Fate can overturn every verdict, so cherish each other while you can."
118,"2004_Picoult,Jodi_MySistersKeeper_BS.txt","MySistersKeeper","Picoult","Jodi",2004,"English","US","BEST","GPT","memory",1,"Love cannot justify taking away someone’s choice."
119,"2004_Picoult,Jodi_MySistersKeeper_BS.txt","MySistersKeeper","Picoult","Jodi",2004,"English","US","BEST","GPT","memory",2,"Saving one life should not require sacrificing another’s autonomy."
120,"2004_Picoult,Jodi_MySistersKeeper_BS.txt","MySistersKeeper","Picoult","Jodi",2004,"English","US","BEST","GPT","memory",3,"Families heal best when truth is faced, not hidden."
121,"2004_Picoult,Jodi_MySistersKeeper_BS.txt","MySistersKeeper","Picoult","Jodi",2004,"English","US","BEST","Gemini","full_text",1,"The desperate desire to save one loved one can tragically blind us to the silent suffering of another."
122,"2004_Picoult,Jodi_MySistersKeeper_BS.txt","MySistersKeeper","Picoult","Jodi",2004,"English","US","BEST","Gemini","full_text",2,"True love sometimes requires the profound courage to let go rather than holding on at all costs."
123,"2004_Picoult,Jodi_MySistersKeeper_BS.txt","MySistersKeeper","Picoult","Jodi",2004,"English","US","BEST","Gemini","full_text",3,"No matter how fiercely we fight to control destiny, life remains fragile and tragically unpredictable."
124,"2004_Picoult,Jodi_MySistersKeeper_BS.txt","MySistersKeeper","Picoult","Jodi",2004,"English","US","BEST","Gemini","chunk_summary",1,"One person's right to life does not negate another's right to bodily autonomy."
125,"2004_Picoult,Jodi_MySistersKeeper_BS.txt","MySistersKeeper","Picoult","Jodi",2004,"English","US","BEST","Gemini","chunk_summary",2,"A desperate crusade to save one child can blind parents to the suffering of the rest."
126,"2004_Picoult,Jodi_MySistersKeeper_BS.txt","MySistersKeeper","Picoult","Jodi",2004,"English","US","BEST","Gemini","chunk_summary",3,"No matter how fiercely we battle to control life and death, fate ultimately dictates the final outcome."
127,"2004_Picoult,Jodi_MySistersKeeper_BS.txt","MySistersKeeper","Picoult","Jodi",2004,"English","US","BEST","Gemini","plotArc_summary",1,"Destiny often rewrites the plans we fight hardest to control."
128,"2004_Picoult,Jodi_MySistersKeeper_BS.txt","MySistersKeeper","Picoult","Jodi",2004,"English","US","BEST","Gemini","plotArc_summary",2,"A human life must be valued as an end in itself, never merely as a means to save another."
129,"2004_Picoult,Jodi_MySistersKeeper_BS.txt","MySistersKeeper","Picoult","Jodi",2004,"English","US","BEST","Gemini","plotArc_summary",3,"The most profound act of love is sometimes the courage to let go."
130,"2004_Picoult,Jodi_MySistersKeeper_BS.txt","MySistersKeeper","Picoult","Jodi",2004,"English","US","BEST","Gemini","memory",1,"A life must be lived for its own sake, not merely as a vessel to save another."
131,"2004_Picoult,Jodi_MySistersKeeper_BS.txt","MySistersKeeper","Picoult","Jodi",2004,"English","US","BEST","Gemini","memory",2,"The deepest act of love is often the courage to finally let go."
132,"2004_Picoult,Jodi_MySistersKeeper_BS.txt","MySistersKeeper","Picoult","Jodi",2004,"English","US","BEST","Gemini","memory",3,"Desperation to save one child can blind us to the suffering of the others."
133,"2004_Picoult,Jodi_MySistersKeeper_BS.txt","MySistersKeeper","Picoult","Jodi",2004,"English","US","BEST","Claude","full_text",1,"Love is not enough justification for using another person."
134,"2004_Picoult,Jodi_MySistersKeeper_BS.txt","MySistersKeeper","Picoult","Jodi",2004,"English","US","BEST","Claude","full_text",2,"The right to choose what happens to your own body cannot be inherited by those who love you."
135,"2004_Picoult,Jodi_MySistersKeeper_BS.txt","MySistersKeeper","Picoult","Jodi",2004,"English","US","BEST","Claude","full_text",3,"Every life saved casts a shadow on the life that did the saving."
136,"2004_Picoult,Jodi_MySistersKeeper_BS.txt","MySistersKeeper","Picoult","Jodi",2004,"English","US","BEST","Claude","chunk_summary",1,"Love is not consent."
137,"2004_Picoult,Jodi_MySistersKeeper_BS.txt","MySistersKeeper","Picoult","Jodi",2004,"English","US","BEST","Claude","chunk_summary",2,"The child who saves everyone is still a child who needs saving."
138,"2004_Picoult,Jodi_MySistersKeeper_BS.txt","MySistersKeeper","Picoult","Jodi",2004,"English","US","BEST","Claude","chunk_summary",3,"Sometimes the most selfless act is finally asking for something for yourself."
139,"2004_Picoult,Jodi_MySistersKeeper_BS.txt","MySistersKeeper","Picoult","Jodi",2004,"English","US","BEST","Claude","plotArc_summary",1,"Fate mocks our plans, delivering what we fought to escape."
140,"2004_Picoult,Jodi_MySistersKeeper_BS.txt","MySistersKeeper","Picoult","Jodi",2004,"English","US","BEST","Claude","plotArc_summary",2,"True love sometimes means letting go rather than holding on."
141,"2004_Picoult,Jodi_MySistersKeeper_BS.txt","MySistersKeeper","Picoult","Jodi",2004,"English","US","BEST","Claude","plotArc_summary",3,"No law can untangle the knot where one life depends on another."
142,"2004_Picoult,Jodi_MySistersKeeper_BS.txt","MySistersKeeper","Picoult","Jodi",2004,"English","US","BEST","Claude","memory",1,"Love can become a cage when it silences the ones it claims to protect."
143,"2004_Picoult,Jodi_MySistersKeeper_BS.txt","MySistersKeeper","Picoult","Jodi",2004,"English","US","BEST","Claude","memory",2,"The right to your own body is not a gift others can grant or take away."
144,"2004_Picoult,Jodi_MySistersKeeper_BS.txt","MySistersKeeper","Picoult","Jodi",2004,"English","US","BEST","Claude","memory",3,"Justice and family loyalty are not always the same road."
